dimension,test,rejection rate
50,KLR,1.0
50,KLR0,1.0
50,*KLR*,1.0
50,logdet2,1.0
50,CM,1.0
50,SpecReg-MMD,1.0
50,AggMMD,1.0
50,HT,1.0
50,FR,1.0
250,KLR,1.0
250,KLR0,1.0
250,*KLR*,1.0
250,logdet2,1.0
250,CM,1.0
250,SpecReg-MMD,1.0
250,AggMMD,1.0
250,HT,1.0
250,FR,1.0
500,KLR,1.0
500,KLR0,1.0
500,*KLR*,1.0
500,logdet2,1.0
500,CM,0.715
500,SpecReg-MMD,0.895
500,AggMMD,0.94
500,HT,0.98
500,FR,0.815
1000,KLR,1.0
1000,KLR0,1.0
1000,*KLR*,0.99
1000,logdet2,1.0
1000,CM,0.13
1000,SpecReg-MMD,0.455
1000,AggMMD,0.555
1000,HT,0.82
1000,FR,0.48
1500,KLR,0.95
1500,KLR0,1.0
1500,*KLR*,1.0
1500,logdet2,0.95
1500,CM,0.04
1500,SpecReg-MMD,0.205
1500,AggMMD,0.245
1500,HT,0.5
1500,FR,0.265
